Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
 58: I100113 | Húng lũi                       | HT: -8.3     | TT: 1        | Huy: 12       | Lệch: -21.3    | Ghi chú: "Điều chỉnh tăng từ Excel"
 59: I100164 | Ớt đà lạt (đỏ)                 | HT: -19.47   | TT: 1        | Huy: 0        | Lệch: -20.47   | Ghi chú: "Điều chỉnh tăng từ Excel"
 60: I100088 | Đu đủ trái xanh                | HT: -12.1    | TT: 8        | Huy: 0        | Lệch: -20.1    | Ghi chú: "Điều chỉnh tăng từ Excel"
 61: I100046 | Cải mầm (100g)                 | HT: -20      | TT: 0        | Huy: 0        | Lệch: -20      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 62: I100258 | Bánh Canh Bột Lọc              | HT: -19      | TT: 0        | Huy: 0        | Lệch: -19      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 63: I100600 | Thơm trái hườm                 | HT: 21       | TT: 40       | Huy: 0        | Lệch: -19      | Ghi chú: "Điều chỉnh tăng từ Excel"
 64: I100072 | Củ riềng                       | HT: -18.47   | TT: 0        | Huy: 0        | Lệch: -18.47   | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 65: I100143 | Măng chua trắng                | HT: -17      | TT: 1        | Huy: 0        | Lệch: -18      | Ghi chú: "Điều chỉnh tăng từ Excel"
 66: I100289 | Su su bào sẵn                  | HT: -18      | TT: 0        | Huy: 0        | Lệch: -18      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 67: I100118 | Khổ qua                        | HT: -13.6    | TT: 2        | Huy: 2        | Lệch: -17.6    | Ghi chú: "Điều chỉnh tăng từ Excel"
 68: I100259 | Đậu hủ miếng chiên             | HT: -17      | TT: 0        | Huy: 0        | Lệch: -17      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 69: I100261 | Đậu hủ non Ichiban             | HT: -15      | TT: 2        | Huy: 0        | Lệch: -17      | Ghi chú: "Điều chỉnh tăng từ Excel"
 70: I100555 | Hành hương làm sạch            | HT: -17      | TT: 0        | Huy: 0        | Lệch: -17      | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 71: I100059 | Chanh giấy                     | HT: -16.4    | TT: 0        | Huy: 0        | Lệch: -16.4    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 72: I100022 | Bông cải trắng                 | HT: -0.8     | TT: 15       | Huy: 0        | Lệch: -15.8    | Ghi chú: "Điều chỉnh tăng từ Excel"
 73: I100104 | Hành tím lột vỏ TQ           | HT: 9.2      | TT: 24.9     | Huy: 0        | Lệch: -15.7    | Ghi chú: "Điều chỉnh tăng từ Excel"
 74: I100184 | Rau muống cọng                 | HT: -15.6    | TT: 0        | Huy: 0        | Lệch: -15.6    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
 75: I100112 | Húng cây                       | HT: -11.5    | TT: 0        | Huy: 4        | Lệch: -15.5    | Ghi chú: "Điều chỉnh tăng từ Excel"
 76: I100165 | Ớt đà lạt (vàng)               | HT: -13.5    | TT: 2        | Huy: 0        | Lệch: -15.5    | Ghi chú: "Điều chỉnh tăng từ Excel"
 77: I100194 | Rau tía tô                     | HT: -14.1    | TT: 0.3      | Huy: 0.8      | Lệch: -15.2    | Ghi chú: "Điều chỉnh tăng từ Excel"
 78: I100181 | Rau kinh giới                  | HT: -12.7    | TT: 0        | Huy: 2.3      | Lệch: -15      | Ghi chú: "Điều chỉnh tăng từ Excel"
 79: I100509 | Xoài chín                      | HT: -9.5     | TT: 5.2      | Huy: 0        | Lệch: -14.7    | Ghi chú: "Điều chỉnh tăng từ Excel"
